role,name,team
student,amirhusaini06,CS2113-F11-1
student,LEESY02,CS2113-F11-1
student,b1inmeister,CS2113-F11-1
student,himethcodes,CS2113-F11-1
student,rozaliesmit,CS2113-F11-1
student,mohammedhamdhan,CS2113-F11-2
student,matthewyeo1,CS2113-F11-2
student,NandhithaShree,CS2113-F11-2
student,Ashertan256,CS2113-F11-2
student,nandhananm7,CS2113-F11-2
student,srfl0,CS2113-F11-3
student,H-ZhanHao,CS2113-F11-3
student,minhbgn,CS2113-F11-3
student,yok2086,CS2113-F11-3
student,kemilii,CS2113-F11-3
student,ElonKoh,CS2113-F11-4
student,Betahaxer,CS2113-F11-4
student,felfelyuen,CS2113-F11-4
student,ManZ9802,CS2113-F11-4
student,lishunyang12,CS2113-F11-4
student,Charly2312,CS2113-F12-1
student,venicephua,CS2113-F12-1
student,szeyingg,CS2113-F12-1
student,edwardrl101,CS2113-F12-1
student,randust,CS2113-F12-1
student,jiajun2002,CS2113-F12-2
student,Stevexchia,CS2113-F12-2
student,xyanjun02,CS2113-F12-2
student,shira421,CS2113-F12-2
student,tongkiankiat,CS2113-F12-3
student,lwenyi1,CS2113-F12-3
student,Jensenkuok,CS2113-F12-3
student,Flaaaash,CS2113-F12-3
student,timothyloh0523,CS2113-F13-1
student,wongyihao0506,CS2113-F13-1
student,OliverQiL,CS2113-F13-1
student,CRL006,CS2113-F13-1
student,HTY2003,CS2113-F13-1
student,shanicetanhui,CS2113-F13-2
student,Sean2110,CS2113-F13-2
student,rodi-314,CS2113-F13-2
student,hyunjinkim1112,CS2113-F13-2
student,ravi-viswa105,CS2113-F13-2
student,gu0y1,CS2113-F14-1
student,Lukapeng77,CS2113-F14-1
student,HalFentise,CS2113-F14-1
student,yangyi-zhu,CS2113-F14-1
student,AnotherSACE,CS2113-F14-1
student,syCHEN1645,CS2113-F14-2
student,HightechTR,CS2113-F14-2
student,JinbaoAlex,CS2113-F14-2
student,Rishi7830,CS2113-F14-2
student,SahejAgarwal05,CS2113-F14-2
student,sweetFish8,CS2113-F14-3
student,paklongchiu,CS2113-F14-3
student,choiak,CS2113-F14-3
student,Lyam-T,CS2113-F14-3
student,je-nnyt,CS2113-F14-3
student,Teng-Yong-Quan,CS2113-F14-4
student,wentuoc,CS2113-F14-4
student,RyanLing169,CS2113-F14-4
student,olsonwangyj,CS2113-F14-4
student,Cheng-Zhiyuan,CS2113-F14-4
student,QuyDatNguyen,CS2113-T11a-1
student,dariusyawningwhiz,CS2113-T11a-1
student,Yikbing,CS2113-T11a-1
student,thienkimtranhoang,CS2113-T11a-1
student,IgoyAI,CS2113-T11a-1
student,irfandeen,CS2113-T11a-2
student,zexueteh,CS2113-T11a-2
student,fivenames,CS2113-T11a-2
student,ecxm02,CS2113-T11a-2
student,prathisttam,CS2113-T11a-3
student,theertha120,CS2113-T11a-3
student,roshnidaksha,CS2113-T11a-3
student,nmarwah7,CS2113-T11a-3
student,teokj,CS2113-T11a-4
student,Yshinprograms,CS2113-T11a-4
student,hannahtay,CS2113-T11a-4
student,xiaojielei,CS2113-T11a-4
student,whalesyong,CS2113-T11b-1
student,Roycecodes,CS2113-T11b-1
student,Roma637,CS2113-T11b-1
student,jxromy,CS2113-T11b-1
student,nictzl,CS2113-T11b-1
student,thezerohour,CS2113-T11b-2
student,itsjoelha,CS2113-T11b-2
student,xmtan1,CS2113-T11b-2
student,clj55,CS2113-T11b-2
student,Jonathan2745,CS2113-T11b-2
student,louistaii,CS2113-T11b-3
student,Isaaclks7,CS2113-T11b-3
student,tzqgav10,CS2113-T11b-3
student,xhuinn,CS2113-T11b-3
student,lys2333,CS2113-T11b-3
student,dylancmznus,CS2113-T11b-4
student,jyukuan,CS2113-T11b-4
student,JudHoka,CS2113-T11b-4
student,chwenyee,CS2113-T11b-4
student,Basudeb2005,CS2113-T11b-4
student,Li-JunXian,CS2113-T12-1
student,siqiangz,CS2113-T12-1
student,RaidaNUS,CS2113-T12-1
student,cj143n,CS2113-T12-1
student,jhu0748,CS2113-T12-1
student,ShengJie13245,CS2113-T12-2
student,dylankhoo,CS2113-T12-2
student,ShengBin-101,CS2113-T12-2
student,Phua-Lock-Hian,CS2113-T12-2
student,wongyihao02,CS2113-T12-3
student,kmnyn,CS2113-T12-3
student,samstt,CS2113-T12-3
student,vihaan27,CS2113-T12-3
student,xubin0,CS2113-T12-3
student,ae-24,CS2113-T12-4
student,TayGuangSheng,CS2113-T12-4
student,tejaskumar0,CS2113-T12-4
student,juneja999,CS2113-T12-4
student,manavm12,CS2113-T12-4
student,weiliangng,CS2113-T13-1
student,chuanhuiw,CS2113-T13-1
student,Carlton369,CS2113-T13-1
student,ChingWhee,CS2113-T13-1
student,J030104,CS2113-T13-1
student,brand0nnn,CS2113-T13-2
student,SeanTerrr,CS2113-T13-2
student,icknee,CS2113-T13-2
student,xiaohan28,CS2113-T13-2
student,jing-yen,CS2113-T13-2
student,eth4n22,CS2113-T13-3
student,Deanson-Choo,CS2113-T13-3
student,Xavierleejrui,CS2113-T13-3
student,WayneCh0y,CS2113-T13-3
student,jenmarieng,CS2113-T13-3
student,vincesum,CS2113-T13-4
student,zavsky,CS2113-T13-4
student,James17042002,CS2113-T13-4
student,yyingg-243,CS2113-T13-4
student,TiangSoonYong,CS2113-T13-4
student,OmJRamdas,CS2113-W11-1
student,KashfyZul,CS2113-W11-1
student,adoorknob,CS2113-W11-1
student,Jason-Hp,CS2113-W11-1
student,trunghjieu2506,CS2113-W11-2
student,Hudou0420,CS2113-W11-2
student,nicholascxh,CS2113-W11-2
student,GeorgeSJ1869,CS2113-W11-2
student,gavalion,CS2113-W11-3
student,ashleyang2001,CS2113-W11-3
student,ojassurana,CS2113-W11-3
student,LeThiHongMinh,CS2113-W11-3
student,noradazaperez,CS2113-W11-4
student,jessican1212,CS2113-W11-4
student,terryasdf,CS2113-W11-4
student,melee01,CS2113-W11-4
student,vegetablestabber,CS2113-W12-1
student,shuu4,CS2113-W12-1
student,pjahn31,CS2113-W12-1
student,kagiura,CS2113-W12-1
student,gitHST,CS2113-W12-1
student,yiyang74,CS2113-W12-2
student,brianchanshiyuan,CS2113-W12-2
student,lakshm1i,CS2113-W12-2
student,KeerthanaBanukumar,CS2113-W12-2
student,kevinchangckc,CS2113-W12-2
student,sjwking,CS2113-W12-3
student,akaash02,CS2113-W12-3
student,kaixiangg,CS2113-W12-3
student,yx-tzzz,CS2113-W12-3
student,EdwinTun98,CS2113-W12-4
student,Hansel-K,CS2113-W12-4
student,limleyhooi,CS2113-W12-4
student,rchlai,CS2113-W12-4
student,flyingapricot,CS2113-W13-1
student,jwyk,CS2113-W13-1
student,Markneoneo,CS2113-W13-1
student,swethacool,CS2113-W13-1
student,K-J-Q,CS2113-W13-1
student,sxkhoo,CS2113-W13-2
student,YanXinyaoo,CS2113-W13-2
student,yeeern27,CS2113-W13-2
student,HuaZhenting,CS2113-W13-2
student,Lydialkx,CS2113-W13-2
student,Alaneel,CS2113-W13-3
student,ljunfun,CS2113-W13-3
student,NotGiggs,CS2113-W13-3
student,denzelloke,CS2113-W13-3
student,laitcanard05,CS2113-W13-3
student,Jasonlobo21,CS2113-W13-4
student,Travissssz,CS2113-W13-4
student,kinneo,CS2113-W13-4
student,keanneeee,CS2113-W13-4
student,Ahmish15,CS2113-W13-4
student,Eclipse-Dominator,dev-team
student,nknguyenhc,dev-team
student,Arif-Khalid,dev-team
student,wx-03,dev-team
student,HollaG,dev-team
student,NorbertLoh,dev-team
student,yucongkoo,dev-team
student,IzN432,dev-team
student,okkhoy,teaching-team
student,damithc,teaching-team
